time_period_order,time_period,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share
1,late_night_00_05,6245177,1.791105381400005E8,1.2582467912999989E8,3.468302661999994E7,9.289054751666668E7,7711999,4615373,790355,737,262,28.67981774415689,20.14749608057544,5.553569837972557,14.87396554439797,1.2348727666165427,0.7390299746508385,0.12655445954534195
2,morning_peak_06_10,13095634,3.600648031900084E8,2.5495001634999764E8,7.67188503100001E7,2.2008596778333297E8,15373227,9967985,2002715,736,262,27.49502644851012,19.468321758992168,5.85835327331232,16.806056719616095,1.1739200255596636,0.761168569616408,0.15292997650972837
3,midday_11_15,21938960,6.354312563999928E8,4.508270990900007E8,9.260059537000003E7,4.22473211633333E8,28323735,16719309,3941955,738,262,28.963599751309673,20.549155433530153,4.220828852871787,19.256756547864303,1.2910245061753156,0.7620830249018185,0.17967829833319354
4,evening_peak_16_19,20706419,6.15728755729998E8,4.075850232399984E8,8.16174316199997E7,3.77079841300001E8,26459656,16187286,2956900,734,262,29.7361294451734,19.683993801149217,3.9416488007897312,18.210770355801312,1.2778479948657466,0.7817520740790573,0.14280112848097973
5,night_20_23,16347445,4.7137806576000017E8,3.229136834099989E8,6.846586474000007E7,2.5952136233333242E8,20906436,12812872,1997970,738,263,28.834968752609363,19.753159188484737,4.188169144474875,15.875347024157746,1.2788809505093914,0.7837843773140084,0.12221909907022167
