day_type,is_weekend,hour,total_trips,total_revenue,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share,active_days,active_pickup_zones
weekday,0,0,1081662,3.470741919999996E7,32.08712074566728,22.632711161157562,4.795072998774109,15.552485727211156,1.2389813083939345,0.7564562682242697,0.14445917486238768,527,259
weekday,0,1,535242,1.6342053429999992E7,30.532083487469205,21.664612493040504,5.151469241950368,14.470623786374503,1.277173689658136,0.7523923757851588,0.16477593312931346,522,256
weekday,0,2,291095,8239915.7499999935,28.306620690839736,19.996397499098236,5.221719713495596,13.626862593540487,1.2856764973634036,0.7301362098284065,0.18337656091653928,523,253
weekday,0,3,189125,5827304.800000001,30.811922273628557,22.054664639788495,6.400048433575677,14.024491209517512,1.2537845340383345,0.6853932584269663,0.19626701916721745,523,246
weekday,0,4,198989,7767177.649999989,39.03320108146676,28.672959259054522,16.156896763137667,16.699960969366824,1.071923573664876,0.6029127238189046,0.1810451834020976,523,247
weekday,0,5,364539,1.3709125599999897E7,37.60674605460567,27.377834388090136,19.155178979478194,16.909723559527702,1.0534730166045334,0.6680245460705164,0.16804512000087782,523,253
weekday,0,6,918207,2.7874255509999715E7,30.357267489792296,22.140249431772997,10.38660329315721,16.9829381610029,1.0567246819072387,0.7200271834128905,0.14686993237908227,522,256
weekday,0,7,1879631,5.0475146969999775E7,26.85375319411085,19.085464189513832,8.98841997179234,16.512931243774258,1.0969669046743749,0.7623533555256324,0.1224054082955644,524,256
weekday,0,8,2549417,6.72629477200002E7,26.38365858547276,18.64191241762336,5.48451675422263,17.208414904270267,1.1141351140280307,0.7747265355177282,0.11916371468457299,523,257
weekday,0,9,2635886,7.129138011000016E7,27.04645804484722,18.98941643530869,4.23090717504475,17.671383347635917,1.1760834876773882,0.7825634340787121,0.15000572862407555,523,256
weekday,0,10,2664826,7.421434758000027E7,27.849603531337607,19.583866867855576,3.749958038536098,18.391428145777635,1.2387821944096913,0.7759647346580978,0.17861353799460078,524,259
weekday,0,11,2808578,7.909951289000039E7,28.16354500035263,19.87948336845195,3.5488367244918932,18.976462608480166,1.2569285951823308,0.7710702711478905,0.18486970986741333,523,259
weekday,0,12,3012125,8.580242687000045E7,28.485679336017082,20.15128589948959,3.6499222774619273,19.173882486063253,1.2619306967672324,0.7667683114080591,0.18645507739552641,522,258
weekday,0,13,3107375,9.136466334000054E7,29.402522495675782,20.88236836558191,4.0719263848103315,19.589280689756894,1.2704417715917777,0.7631299730479907,0.18763811899110985,525,260
weekday,0,14,3403086,1.0273872270000038E8,30.189869635971696,21.470176719013285,4.256183199601772,20.692713055150506,1.2750703332210822,0.7658657465606218,0.1820497630679918,524,261
weekday,0,15,3525668,1.057940522200003E8,30.006810686655776,21.36298447556605,4.451441128319515,21.14257494844477,1.2834827329175633,0.76829185277797,0.17539853440539496,525,261
weekday,0,16,3532992,1.1573653357000013E8,32.758787330964836,21.552452824687997,3.9673146698322554,21.039927036347674,1.2782109328297375,0.7783796283716464,0.16223671041428908,523,258
weekday,0,17,3960335,1.2114257498000005E8,30.588971634975337,19.81375652312243,3.9993787091243607,19.19777150165327,1.2469909742483907,0.7894834654139107,0.13856050056371494,524,258
weekday,0,18,4222775,1.2136980596000017E8,28.741717463042708,18.30192479589845,3.40383929288205,16.914649821503637,1.235050647974377,0.7942570939725654,0.12772122597107352,522,258
weekday,0,19,3679873,1.0603326645000009E8,28.814382031662532,18.318626702606327,3.8705574947831094,15.738567825574423,1.2523244688063964,0.8020154499897143,0.12545324254396822,522,257
weekday,0,20,3349100,9.336500864000009E7,27.877641348421992,18.741041148368218,3.725652497685947,15.411896121346032,1.2615553432265385,0.802685199008689,0.12253411364247112,525,259
weekday,0,21,3427985,9.547690616000012E7,27.852194849160693,18.84300309365415,3.9910045172309707,15.323164813537202,1.2690799405481645,0.7974343528340994,0.11657927324652821,523,260
weekday,0,22,3108940,8.896133228999998E7,28.614682911217322,19.624887936081116,4.012627200910923,15.719413202999535,1.255994647693426,0.7843219875584604,0.11304753388614769,525,255
weekday,0,23,2301154,6.928852737999995E7,30.110339151573495,20.89622409451955,4.52758201754424,16.04519462843425,1.2407904903365876,0.7687755795570397,0.11889252088300044,527,259
weekend,1,0,1156657,3.062514646E7,26.47729314740671,18.370782954670233,3.676589732306122,15.580529966965143,1.2569067580103694,0.7565008468370485,0.09594201219549098,209,257
