hour,PULocationID,pickup_zone,pickup_borough,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share,zone_rank_in_hour
0,132,JFK Airport,Queens,161989,1.237240283999999E7,9799262.040000001,2493849.09,5099142.1833333345,226706,119835,36099,734,1,76.37804320046418,60.49337942699813,15.395175536610509,31.478323733916096,1.3995147818679046,0.7397724536851268,0.2228484650192297,1
0,79,East Village,Manhattan,153543,3559295.36,2373252.7,475408.16000000003,2164239.7000000007,195350,123338,10592,733,1,23.181098193991257,15.456599779866227,3.0962542089186744,14.095332903486325,1.2722820317435506,0.8032798629699823,0.06898393283966055,2
0,249,West Village,Manhattan,141383,3332246.4299999997,2222566.1799999997,531159.6900000001,2127501.5,177961,114329,9467,731,1,23.56893282785059,15.720179795307779,3.756885127632035,15.047788630882073,1.2587156871759688,0.808647432859679,0.0669599598254387,3
0,114,Greenwich Village South,Manhattan,103497,2380402.45,1582455.41,253172.70999999996,1481516.2833333332,134945,82730,8222,731,1,22.99972414659362,15.289867435771084,2.4461840439819507,14.314581904145369,1.303854217996657,0.7993468409712359,0.07944191619080747,4
0,48,Clinton East,Manhattan,93094,2284019.9,1531003.9600000002,322546.22,1314418.0666666667,122573,73430,11722,731,1,24.534555395621627,16.44578555008916,3.464736932562786,14.119256522081624,1.3166584312630245,0.7887726384084903,0.1259157410789095,5
0,148,Lower East Side,Manhattan,87859,2195467.4400000004,1505039.77,253751.53000000006,1364345.9666666666,113849,70447,5757,731,1,24.9885320798097,17.130171866285753,2.888167746047645,15.528812832682668,1.2958148852138085,0.8018188233419457,0.06552544417760275,6
0,230,Times Sq/Theatre District,Manhattan,79565,1962534.0799999998,1329537.25,221595.25999999998,1171504.5166666666,105597,58223,13903,730,1,24.665796267202914,16.710076666876137,2.7850846477722615,14.723867487798236,1.3271790360082951,0.7317664802362848,0.17473763589518004,7
0,186,Penn Station/Madison Sq West,Manhattan,74754,1905000.5300000005,1284977.6400000001,216173.33000000002,1129196.1333333333,96912,60977,8618,731,1,25.483593252534988,17.189416486074325,2.8917961580651204,15.105494466293887,1.296412232121358,0.8157021697835567,0.1152848008133344,8
0,138,LaGuardia Airport,Queens,70000,4196107.050000001,2703910.11,651698.0499999999,1441068.3166666667,91803,57683,10578,726,1,59.94438642857144,38.62728728571428,9.309972142857141,20.586690238095237,1.3114714285714286,0.8240428571428572,0.1511142857142857,9
0,234,Union Sq,Manhattan,66356,1504479.3699999999,1001057.19,161861.75,900541.7166666669,80698,50262,6520,731,1,22.672846012417864,15.086159352583037,2.4392933570438244,13.571368326401032,1.2161371993489662,0.7574597624932184,0.09825788172885647,10
